State,City,County,Facility,Confirmed Cases (Youth),Confirmed Cases (Staff),"Testing for Youth (Y/N)
includes testing at intake","Testing for Staff (Y/N)
includes verbal screenings and temperature checks","Visitation 
Policy (Suspended/Limited/Adapted*/
No Change/Resumed)
*includes increasing phone/video visitation","Education Policy
(In Person/Suspended/Educational Packets/Virtual)",Last Updated,Sources,Perma Links,Additional Notes
Louisiana,NA,Avoyelles Parish,"Acadiana Center 
for Youth",1,8,Y,Y,NA,NA,2020-07-24T00:00:00Z,https://ojj.la.gov/ojj-covid-19-information/,https://perma.cc/DGZ2-XZDK,Their website is updated daily at 11:00am
Louisiana,NA,Jefferson Parish,"Bridge City Center for 
Youth",10,21,Y,Y,NA,NA,2020-07-24T00:00:00Z,https://ojj.la.gov/ojj-covid-19-information/,https://perma.cc/DGZ2-XZDK,Their website is updated daily at 11:00am
Louisiana,NA,Ouachita Parish,"Swanson Center for 
Youth in Monroe",6,25,Y,Y,NA,NA,2020-07-24T00:00:00Z,https://ojj.la.gov/ojj-covid-19-information/,https://perma.cc/DGZ2-XZDK,Their website is updated daily at 11:00am
Louisiana,NA,Caldwell Parish,"Swanson Center for 
Youth in Columbia",12,11,Y,Y,NA,NA,2020-07-24T00:00:00Z,https://ojj.la.gov/ojj-covid-19-information/,https://perma.cc/DGZ2-XZDK,Their website is updated daily at 11:00am
Maine,NA,NA,"Long Creek Youth 
Development Center",1,0,Y,Y,NA,NA,2020-06-29T00:00:00Z,https://mainebeacon.com/advocates-renew-call-to-empty-long-creek-after-16-year-old-contracts-covid/,https://perma.cc/2Z4U-XXWB,NA
Maine,NA,NA,NA,1,NA,NA,NA,NA,NA,2020-07-17T00:00:00Z,https://www.maine.gov/corrections/home/MDOC%20COVID19WebDashboard7-17-2020.pdf,https://perma.cc/DW6X-S6PZ,NA
Maryland,NA,NA,"Baltimore City 
Juvenile Justice Center",5,18,Y,Y,NA,Virtual,2020-07-17T00:00:00Z,https://djs.maryland.gov/Documents/COVID-19/MD-DJS-Daily-Report-2-COVID-Summary-07172020.pdf,perma.cc/SY5R-QXFC;  perma.cc/994A-GKQD,NA
Maryland,NA,NA,Cheltenham Youth Detention Center,2,1,Y,Y,NA,NA,2020-07-17T00:00:00Z,https://djs.maryland.gov/Documents/COVID-19/MD-DJS-Daily-Report-2-COVID-Summary-07172020.pdf,404 - Page Not Found,NA
Maryland,NA,NA,Hickey School,0,2,Y,Y,NA,NA,2020-07-17T00:00:00Z,https://djs.maryland.gov/Documents/COVID-19/MD-DJS-Daily-Report-2-COVID-Summary-07172020.pdf,404 - Page Not Found,NA
Maryland,NA,NA,"Lower Eastern Shores 
Children's Center",1,3,Y,Y,NA,NA,2020-07-17T00:00:00Z,https://djs.maryland.gov/Documents/COVID-19/MD-DJS-Daily-Report-2-COVID-Summary-07172020.pdf,404 - Page Not Found,NA
Maryland,NA,NA,Cartern Center,0,0,Y,Y,NA,NA,2020-07-17T00:00:00Z,https://djs.maryland.gov/Documents/COVID-19/MD-DJS-Daily-Report-2-COVID-Summary-07172020.pdf,404 - Page Not Found,NA
Maryland,NA,NA,Noyes Center,1,4,Y,Y,NA,NA,2020-07-17T00:00:00Z,https://djs.maryland.gov/Documents/COVID-19/MD-DJS-Daily-Report-2-COVID-Summary-07172020.pdf,404 - Page Not Found,NA
