Name,Street,City,State,ZIP,ACTState,
BENTON UNIT,6701 HIGHWAY 67,BENTON,ARKANSAS,72015,ARKANSAS,
BERKS CO. RE-ENTRY (297),1287 COUNTY WELFARE RD,LEESPORT,PENNSYLVANIA,19533,PENNSYLVANIA,
BERMAN TREATMENT CENTER,1095 BLUE HILLS AVEUNE,HARTFORD,CONNECTICUT,6002,CONNECTICUT,
BERRYDALE FORESTRY CAMP,6920 HWY 4,JAY,FLORIDA,32565,FLORIDA,
BERTIE CORRECTIONAL INSTITUTION,218 COOPER HILL RD.,WINDSOR,NORTH CAROLINA,27983,NORTH CAROLINA,
BETHEL WORK RELEASE PROGRAM,23 MESABA AVENUE,DULUTH,MINNESOTA,55806,MINNESOTA,
BIBB CORRECTIONAL FACILITY,565 BIBB LANE,BRENT,ALABAMA,35034,ALABAMA,
BIG MUDDY RIVER CORRECTIONAL CENTER,251 N ILLINOIS HWY 37,INA,ILLINOIS,62846,ILLINOIS,
BIG PINE KEY ROAD PRISON,P.O. BOX 430509,BIG PINE KEY,FLORIDA,33043,FLORIDA,
BIG SANDY - CAMP,1197 AIRPORT ROAD,INEZ,KENTUCKY,41224,KENTUCKY,
BIG SANDY USP,1197 AIRPORT ROAD,INEZ,KENTUCKY,41224,KENTUCKY,
BIG SPRING CI,1701 APRON DRIVE,BIG SPRING,TEXAS,79720,TEXAS,
BIG SPRING FCI,1900 SIMLER AVENUE,BIG SPRING,TEXAS,79720,TEXAS,
BIG SPRING-CAMP,1900 SIMLER AVE,BIG SPRING,TEXAS,79720,TEXAS,
BILLY MOORE CORRECTIONAL CENTER,8500 NORTH FM 3053,Overton,TEXAS,75684,TEXAS,
BIRMINGHAM CCC,1609 7th Street North,BIRMINGHAM,ALABAMA,35204,ALABAMA,
BIRMINGHAM Community Based Facility,1216 North 25th Street,Birmingham,ALABAMA,35234,ALABAMA,
BISHOP HOUSE,31 BISHOP STREET,WATERBURY,CONNECTICUT,6704,CONNECTICUT,
BISHOP LEWIS WORK RELEASE,703 8th Ave,Seattle,WASHINGTON,98104,WASHINGTON,
BISMARCK TRANSITION CENTER,2001 LEE AVE,BISMARCK,NORTH DAKOTA,58504,NORTH DAKOTA,
BLACK RIVER CORRECTIONAL CENTER,W6898 E. Staffon Rd,Black River Falls,WISCONSIN,54615,WISCONSIN,
BLACKBURN CORRECTIONAL COMPLEX,3111 SPURR ROAD,LEXINGTON,KENTUCKY,40511,KENTUCKY,
BLACKWATER RIVER CORRECTIONAL FACILITY,5914 JEFF ATES ROAD,MILTON,FLORIDA,32583,FLORIDA,
BLADEN CORRECTIONAL CENTER,5853 US 701 N,ELIZABETHTOWN,NORTH CAROLINA,28337,NORTH CAROLINA,
BLAND CORRECTIONAL CENTER,256 BLAND FARM ROAD,BLAND,VIRGINIA,24315,VIRGINIA,
BLECKLEY PROBATION DENTENTION CENTER,179 JAC ARTS ROAD,COCHRAN,GEORGIA,31014,GEORGIA,
BO ROBINSON EDUCATION & TRAINING CENTER,377 ENTERPRISE WAY,Trenton,NEW JERSEY,8638,NEW JERSEY,
BOBBY WHITWORTH PAROLE CENTER,414 VALLEY HART ROAD,HARTWELL,GEORGIA,30643,GEORGIA,
BOLDUC CORRECTIONAL FACILITY,516 CUSHING ROAD,WARREN,MAINE,4864,MAINE,
BOLIVAR COUNTY  COMMUNITY WORK CENTER,604 HIGHWAY 8,ROSEDALE,MISSISSIPPI,38769,MISSISSIPPI,
BOLIVAR COUNTY CORRECTIONAL FACILITY,2793 HIGHWAY 8 WEST,CLEVELAND,MISSISSIPPI,38732,MISSISSIPPI,
BONNEVILLE COMMUNITY CORRECTIONAL CENTER,1141 S 2475 W,SALT LAKE CITY,UTAH,84104,UTAH,
BOONVILLE TREATMENT CENTER,1216 E MORGAN STREET,BOONVILLE,MISSOURI,65233,MISSOURI,
BOSSIER TWP,204 BURT BLVD.,BENTON,LOUISIANA,71006,LOUISIANA,
BOSTON  PRE RELEASE CENTER,430 CANTERBURY STREET,ROSLINDALE,MASSACHUSETTS,2131,MASSACHUSETTS,
BOULDER COMMUNITY TREATMENT CENTER,1770 21ST ST,BOULDER,COLORADO,80302,COLORADO,
BRADENTON TRANSITION CENTER,2104 63RD AVENUE EAST,BRADENTON,FLORIDA,34203,FLORIDA,
BRADSHAW STATE JAIL,3900 WEST LOOP 571 NORTH,Henderson,TEXAS,75653,TEXAS,
BRANCHVILLE CORRECTIONAL FACILITY,21390 OLD STATE RD 37,BRANCHVILLE,INDIANA,47514,INDIANA,
BRAZOS VALLEY COUNCIL ON ALCOHOL & SUBSTANCE ABUSE,405 West 28th Street,Bryan,TEXAS,77803,TEXAS,
BREVARD WORK CAMP,855 CAMP ROAD,COCOA,FLORIDA,32927,FLORIDA,
BRIDGEPORT CORRECTIONAL CENTER,1106 N AVENUE,BRIDGEPORT,CONNECTICUT,6604,CONNECTICUT,
